item,distancia,fecha,hora
1,90,2024-06-30,12:20:51
2,90,2024-06-30,12:20:52
3,90,2024-06-30,12:20:53
4,90,2024-06-30,12:20:54
5,90,2024-06-30,12:20:55
6,90,2024-06-30,12:20:56
7,90,2024-06-30,12:20:57
8,90,2024-06-30,12:20:58
9,90,2024-06-30,12:20:59
10,90,2024-06-30,12:21:00
11,77,2024-06-30,12:21:01
12,75,2024-06-30,12:21:02
13,75,2024-06-30,12:21:03
14,75,2024-06-30,12:21:04
15,75,2024-06-30,12:21:05
16,75,2024-06-30,12:21:06
17,75,2024-06-30,12:21:07
18,75,2024-06-30,12:21:08
19,75,2024-06-30,12:21:09
20,75,2024-06-30,12:21:10
21,70,2024-06-30,12:21:11
22,60,2024-06-30,12:21:12
23,60,2024-06-30,12:21:13
24,60,2024-06-30,12:21:14
25,60,2024-06-30,12:21:15
26,60,2024-06-30,12:21:16
27,60,2024-06-30,12:21:17
28,60,2024-06-30,12:21:18
29,60,2024-06-30,12:21:19
30,59,2024-06-30,12:21:20
31,44,2024-06-30,12:21:21
32,44,2024-06-30,12:21:22
33,44,2024-06-30,12:21:23
34,44,2024-06-30,12:21:24
35,45,2024-06-30,12:21:25
36,45,2024-06-30,12:21:26
37,45,2024-06-30,12:21:27
38,45,2024-06-30,12:21:28
39,45,2024-06-30,12:21:29
40,45,2024-06-30,12:21:30
41,42,2024-06-30,12:21:31
42,30,2024-06-30,12:21:32
43,30,2024-06-30,12:21:33
44,30,2024-06-30,12:21:34
45,30,2024-06-30,12:21:35
46,30,2024-06-30,12:21:36
47,30,2024-06-30,12:21:37
48,30,2024-06-30,12:21:38
49,30,2024-06-30,12:21:39
50,30,2024-06-30,12:21:40
51,30,2024-06-30,12:21:41
52,15,2024-06-30,12:21:42
53,15,2024-06-30,12:21:43
54,15,2024-06-30,12:21:44
55,15,2024-06-30,12:21:45
56,15,2024-06-30,12:21:46
57,15,2024-06-30,12:21:47
58,15,2024-06-30,12:21:48
59,15,2024-06-30,12:21:49
60,16,2024-06-30,12:21:50
